Height,Weight
73.84702,241.8936
68.7819,162.3105
74.11011,212.7409
71.73098,220.0425
69.8818,206.3498
67.25302,152.2122
68.78508,183.9279
68.34852,167.9711
67.01895,175.9294
63.45649,156.3997
71.19538,186.6049
71.64081,213.7412
64.76633,167.1275
69.28307,189.4462
69.24373,186.4342
67.64562,172.1869
72.41832,196.0285
63.97433,172.8835
69.64006,185.984
67.936,182.4266
67.91505,174.1159
69.43944,197.7314
66.14913,149.1736
75.20597,228.7618
67.8932,162.0067
68.14403,192.344
69.08963,184.4352
72.80084,206.8282
67.42124,175.2139
68.49642,154.3426
68.61811,187.5068
74.03381,212.9102
71.52822,195.0322
69.18016,205.1836
69.5772,204.1641
70.40093,192.9035
69.07617,197.4882
67.19352,183.811
65.80732,163.8518
64.30419,163.108
67.97434,172.1356
72.18943,194.0454
65.27035,168.6177
66.09018,161.1934
67.51032,164.6603
70.10479,188.9223
68.25184,187.0606
72.17271,209.0709
69.17986,192.0143
72.87036,211.3425
64.78258,165.6116
70.18355,201.0719
68.49145,173.424
67.33083,181.4077
66.99094,169.7377
66.49955,163.3095
68.35306,189.7102
70.77446,192.1248
71.21592,198.1985
70.01337,209.5265
71.40318,198.7598
69.55201,198.0795
73.81853,195.2906
66.99688,164.9433
71.41847,179.8639
65.2793,155.2504
68.27419,184.5194
72.76537,220.678
68.09938,183.3127
68.89671,196.4513
69.28951,184.5956
70.52322,207.5328
69.66373,177.2009
67.59527,163.108
72.50812,216.2182
71.25299,204.6555
71.80919,200.9206
72.24517,220.9018
66.51263,196.4499
66.02903,168.6408
67.57715,181.4327
68.24657,198.6587
73.82613,237.9167
69.80246,173.0413
65.95958,160.6839
71.07902,188.6029
66.5962,208.3457
68.95154,193.4351
68.24446,174.1097
72.31683,197.3686
71.81542,201.6207
65.23705,181.012
70.64053,182.1225
64.73193,177.5493
67.10355,164.9746
65.11748,165.7171
71.70123,193.0942
66.83288,180.6839
66.47128,172.7737
69.41153,177.4706
70.05218,200.8187
66.7436,167.7398
66.27433,154.3956
68.32845,177.9847
70.07589,183.9389
68.73299,179.2048
67.55605,158.568
66.25363,166.5035
69.1822,171.9837
67.6091,174.3642
69.29274,187.7454
68.19068,201.488
71.60709,204.927
69.19686,178.6855
67.26196,164.0144
73.68519,223.27
69.53722,202.9583
68.31156,189.3918
67.73896,178.1706
71.70576,223.2993
63.63226,167.0287
68.7212,180.4687
66.94934,164.4391
62.70699,149.9696
72.25841,192.9103
70.90865,201.884
67.60984,179.868
70.80156,196.4677
69.30477,187.5516
66.2429,171.6932
67.49219,191.6996
65.80625,165.8506
71.44371,185.6627
68.46441,178.2818
63.98792,150.9791
71.0019,209.9293
68.13972,174.1578
68.3954,179.879
68.09622,167.7471
68.14059,183.0447
68.86009,169.5568
66.14885,173.4317
66.20603,180.8896
67.43212,183.5089
69.47111,205.9779
70.51586,183.7598
71.33838,201.9545
71.00194,216.1201
66.20235,159.3903
72.54331,210.3364
67.47935,178.6184
65.35041,146.7398
70.84406,195.937
69.93848,170.1759
64.73982,169.6541
69.3084,198.3787
68.83846,179.9077
61.93732,147.2637
68.59334,176.9843
65.21858,185.4678
64.33365,177.4938
68.74891,169.8275
72.48966,198.5817
67.23393,203.3503
67.2636,193.2177
65.1185,178.1349
66.26282,162.7796
67.70168,159.2865
65.5307,172.1143
69.86897,201.837
68.48188,170.3523
72.21396,205.3898
68.17953,169.7878
71.98121,200.4373
66.06514,178.589
66.65616,168.014
67.59942,177.7664
68.24594,193.2776
64.80862,162.3795
67.49222,183.3838
68.18073,181.0561
69.55338,210.8718
66.40225,165.5685
66.59216,196.1484
71.93589,202.0464
68.28704,170.4136
69.95545,201.9481
71.85113,193.387
65.7555,179.8557
67.03185,156.4899
76.70983,235.0354
72.57112,230.5605
69.7288,203.8957
72.79922,218.2164
72.53935,222.6672
72.29474,208.4749
67.25332,180.7798
75.94446,231.9247
66.31623,170.5939
71.15605,188.2715
71.1922,196.0615
72.19751,214.6036
75.14082,224.1243
64.41153,158.5794
64.73442,166.5011
63.41459,160.1406
67.84867,176.1726
65.93178,174.4853
70.96655,193.9065
67.58075,186.9916
68.58927,173.5958
70.32475,193.3466
72.39448,208.4365
70.82086,206.033
65.9033,172.5752
74.79538,232.6354
67.68092,177.2401
67.15596,175.6467
71.77484,212.6261
64.66523,166.9692
68.12277,196.4144
66.78693,165.4312
66.80585,176.5658
67.88601,174.652
69.17358,195.2375
70.22492,205.6844
64.8558,158.3414
67.82109,169.081
63.44025,135.6559
71.84843,218.1575
66.72807,155.8995
71.96831,201.5282
76.02135,235.9261
71.4761,195.3926
67.36981,176.6362
70.55524,198.4602
69.8671,185.7169
67.94757,177.3478
74.10456,215.7597
69.16784,187.0224
66.55723,171.5879
66.7016,172.8398
67.24606,168.2803
69.05139,163.8205
70.67275,190.0234
65.499,156.87
65.18722,172.6065
67.56814,169.064
73.81539,231.3745
71.60656,207.2505
67.72475,172.1528
68.23113,199.8278
65.92942,168.0904
71.5485,197.8196
69.16438,196.8923
68.59766,180.2218
71.05751,189.134
63.64406,158.4227
71.18246,208.9227
66.12867,187.1411
65.05737,157.5824
68.09137,181.6444
70.99314,204.7467
74.22117,231.1302
69.32712,186.2584
64.93134,181.0939
68.34684,198.921
70.92913,203.3705
61.47781,161.0288
68.49081,189.8067
72.04989,200.2028
72.52167,221.8627
71.23391,214.0601
72.25912,201.7014
67.56504,187.1871
72.26761,196.5275
62.60025,151.7207
66.23644,167.2975
69.65044,198.8437
69.28592,178.7895
70.72528,193.5393
68.82861,197.7379
66.01443,184.4618
66.41488,155.1948
66.61562,160.992
68.03482,189.0845
70.5024,172.9858
69.15773,195.8953
70.79502,215.7465
65.19438,166.7074
74.78571,239.4643
71.06691,184.2792
69.3342,199.9839
69.8992,191.4122
64.42519,169.1094
67.85213,194.7445
67.54907,183.2665
74.76745,210.3699
71.41895,198.0425
67.12034,172.6641
69.85959,197.0709
68.43081,190.5058
67.93348,184.5555
68.49534,179.9298
65.24414,159.5032
70.18535,197.8845
71.10413,217.2696
68.44758,187.9074
65.42058,176.8617
67.70079,185.1482
74.22306,223.308
71.16725,206.943
67.23077,171.0169
67.88056,175.2228
67.37638,173.3104
68.76125,181.126
71.70527,202.609
69.38099,199.8509
73.71653,223.5147
69.45338,219.2617
70.78629,211.2161
71.76846,200.799
69.34345,208.8098
65.28603,161.4201
70.92184,207.8359
68.59666,180.8312
68.6038,176.8155
69.47874,194.6038
65.9309,163.0084
68.52335,173.2707
73.92912,215.62
71.19794,210.1345
66.55659,185.0423
71.74228,187.9654
69.74483,188.1811
66.75065,179.542
69.69242,211.7184
70.40352,197.6921
69.01974,186.288
64.73229,166.1061
70.99807,188.8118
64.45981,161.3788
69.74952,193.4763
71.52685,189.2822
68.32792,207.7849
70.76472,199.3231
71.41905,209.8583
69.39047,180.1755
72.00173,196.2144
69.19147,189.4388
66.16636,165.5146
67.27214,182.3943
70.91584,189.5576
69.11989,189.6259
67.40903,170.1913
72.93865,216.0975
70.49093,177.0678
69.00826,196.0512
66.76211,167.7005
69.12066,179.6079
73.12627,220.6614
67.48682,164.2952
64.95508,156.5448
67.78249,183.681
67.6624,170.3055
66.4764,168.6273
72.98707,209.638
69.56323,195.346
71.00356,194.3226
69.91564,219.3679
71.69714,205.1617
67.64994,178.8826
